Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	0.288	4	0.018	Test	Test	Test	Female	Test	
True	-0.27	5	0.018	Test	Test	Test	Female	Test	
False	0.252	5	0.018	Test	Test	Test	Female	Test	
True	-0.234	6	0.018	Test	Test	Test	Female	Test	
True	0.216	7	0.018	Test	Test	Test	Female	Test	
True	-1	1	0.05				Male		
False	0.95	1	0.05				Male		
True	-0.9	2	0.05				Male		
True	0.85	3	0.05				Male		
False	-0.8	3	0.05				Male		
False	0.7499999	3	0.05				Male		
False	-0.6999999	3	0.05				Male		
False	0.6499999	3	0.05				Male		
False	-0.5999999	3	0.05				Male		
False	0.5499999	3	0.05				Male		
False	-1	0	0.05				Male		
False	0.95	0	0.05				Male		
False	-0.9	0	0.05				Male		
True	0.85	1	0.05				Male		
True	-0.8	2	0.05				Male		
True	0.7499999	3	0.05				Male		
True	-0.6999999	4	0.05				Male		
True	0.6499999	5	0.05				Male		
True	-0.5999999	6	0.05				Male		
True	0.5499999	7	0.05				Male		
False	-0.6	0	0.03				Male		
True	0.5700001	1	0.03				Male		
True	-0.5400001	2	0.03				Male		
True	0.5100001	3	0.03				Male		
False	-0.4800001	3	0.03				Male		
True	0.4500001	4	0.03				Male		
False	-0.4200001	4	0.03				Male		
True	0.3900001	5	0.03				Male		
False	-0.3600001	5	0.03				Male		
False	0.3300001	5	0.03				Male		
False	-0.6	0	0.03				Male		
True	0.5700001	1	0.03				Male		
False	-0.5400001	1	0.03				Male		
False	0.5100001	1	0.03				Male		
False	-0.4800001	1	0.03				Male		
True	0.4500001	2	0.03				Male		
False	-0.4200001	2	0.03				Male		
False	0.3900001	2	0.03				Male		
True	-0.3600001	3	0.03				Male		
True	0.3300001	4	0.03				Male		
True	-0.6	1	0.03				Male		
True	0.5700001	2	0.03				Male		
True	-0.5400001	3	0.03				Male		
False	0.5100001	3	0.03				Male		
True	-0.4800001	4	0.03				Male		
True	0.4500001	5	0.03				Male		
True	-0.4200001	6	0.03				Male		
True	0.3900001	7	0.03				Male		
False	-0.3600001	7	0.03				Male		
False	0.3300001	7	0.03				Male		
True	-0.36	1	0.018				Male		
True	0.342	2	0.018				Male		
False	-0.324	2	0.018				Male		
False	0.306	2	0.018				Male		
False	-0.288	2	0.018				Male		
True	0.27	3	0.018				Male		
False	-0.252	3	0.018				Male		
True	0.234	4	0.018				Male		
False	-0.216	4	0.018				Male		
False	0.198	4	0.018				Male		
True	0.5	1	0.05				Male		
True	-0.475	2	0.05				Male		
True	0.45	3	0.05				Male		
True	-0.425	4	0.05				Male		
False	0.4	4	0.05				Male		
True	-0.375	5	0.05				Male		
False	0.35	5	0.05				Male		
True	-0.325	6	0.05				Male		
False	0.3	6	0.05				Male		
True	-0.2749999	7	0.05				Male		
True	0.3	1	0.03				Male		
True	-0.285	2	0.03				Male		
True	0.27	3	0.03				Male		
False	-0.2550001	3	0.03				Male		
True	0.2400001	4	0.03				Male		
False	-0.2250001	4	0.03				Male		
False	0.2100001	4	0.03				Male		
False	-0.1950001	4	0.03				Male		
True	0.1800001	5	0.03				Male		
True	-0.1650001	6	0.03				Male		
True	0.3	1	0.03				Male		
